epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1360.29,0.57165,0.33224,0.87114,0.94502,0.97108,0.98045,0.80097,0.69494,0.35825,0.87079,0.0011882,0.0011882,0.0011882
43,1391.56,0.56481,0.32305,0.86291,0.95048,0.97607,0.98049,0.80443,0.66153,0.34539,0.86499,0.0011684,0.0011684,0.0011684
44,1423.02,0.55974,0.32518,0.86402,0.94392,0.95089,0.97544,0.79694,0.69322,0.35863,0.87052,0.0011486,0.0011486,0.0011486
45,1454.41,0.54937,0.32429,0.86343,0.94498,0.94915,0.97722,0.79153,0.66545,0.34774,0.86573,0.0011288,0.0011288,0.0011288
46,1487.17,0.5447,0.32158,0.86008,0.93476,0.97146,0.96021,0.78659,0.6738,0.33619,0.86591,0.001109,0.001109,0.001109
47,1519.48,0.53882,0.31418,0.86229,0.95769,0.9209,0.96128,0.76238,0.69013,0.37999,0.87487,0.0010892,0.0010892,0.0010892
48,1551.44,0.53586,0.31629,0.86257,0.94346,0.97175,0.97394,0.7833,0.67379,0.3458,0.86982,0.0010694,0.0010694,0.0010694
49,1583.16,0.54015,0.31306,0.86068,0.94716,0.96045,0.97063,0.79277,0.68695,0.35735,0.8671,0.0010496,0.0010496,0.0010496
50,1614.89,0.54542,0.31322,0.86071,0.9204,0.97988,0.96547,0.7932,0.67598,0.34355,0.86522,0.0010298,0.0010298,0.0010298
51,1646.48,0.54198,0.31486,0.86187,0.94358,0.9661,0.97752,0.78764,0.68235,0.33847,0.86468,0.00101,0.00101,0.00101
52,1677.69,0.54757,0.31073,0.85988,0.95022,0.97066,0.96723,0.79549,0.66206,0.34492,0.86118,0.0009902,0.0009902,0.0009902
53,1709.07,0.54027,0.31312,0.8617,0.94381,0.94889,0.9684,0.77123,0.69897,0.36251,0.88006,0.0009704,0.0009704,0.0009704
54,1740.26,0.53447,0.31339,0.85871,0.96314,0.9548,0.97468,0.77802,0.68261,0.33966,0.87936,0.0009506,0.0009506,0.0009506
55,1771.53,0.53351,0.30313,0.85985,0.94908,0.94764,0.96939,0.78988,0.6638,0.33798,0.87124,0.0009308,0.0009308,0.0009308
56,1802.96,0.53244,0.30158,0.85095,0.9546,0.9661,0.981,0.7933,0.65066,0.32173,0.86102,0.000911,0.000911,0.000911
57,1834.31,0.51705,0.29797,0.85179,0.95996,0.94825,0.96958,0.79293,0.6583,0.33865,0.86634,0.0008912,0.0008912,0.0008912
58,1865.52,0.51938,0.2988,0.85538,0.97038,0.9548,0.98318,0.79192,0.65983,0.32214,0.86575,0.0008714,0.0008714,0.0008714
59,1897.25,0.51458,0.29254,0.85423,0.93713,0.96045,0.96855,0.79643,0.65055,0.31582,0.86968,0.0008516,0.0008516,0.0008516
60,1928.61,0.50298,0.29104,0.84946,0.93429,0.9661,0.96968,0.80421,0.64353,0.33078,0.85205,0.0008318,0.0008318,0.0008318
61,1959.87,0.50331,0.28811,0.85283,0.94504,0.96045,0.96847,0.79669,0.65082,0.33235,0.86256,0.000812,0.000812,0.000812
